time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/std,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
142,14,1,1.1013486,2048,,,,,,,,,,,
138,29,2,-0.42052424,4096,-41.16574313640594,10,4.3612165451049805,0.2,10.962253823876381,1.0007697343826294,0.011790866,0.00025,-0.012536048889160156,0.1650390625,-0.023573983210371807
135,45,3,1.449417,6144,-41.190027070045474,20,27.718687057495117,0.2,52.14706865549088,1.0023527145385742,0.017287198,0.00025,0.01785290241241455,0.15380859375,-0.020094072986103127
133,61,4,0.57036924,8192,-41.252043914794925,30,14.029474258422852,0.2,46.539437007904056,1.0045682191848755,0.014031161,0.00025,-0.0028661489486694336,0.1650390625,-0.024357176292687653
133,76,5,-1.3338156,10240,-41.288378548622134,40,8.039275169372559,0.2,17.715974950790404,1.0050196647644043,0.017345782,0.00025,-0.028224468231201172,0.191650390625,-0.02104973067471292
132,92,6,-0.12010887,12288,-41.32616381645202,50,25.665828704833984,0.2,49.85694395303726,1.0073506832122803,0.018496174,0.00025,0.00016415119171142578,0.193994140625,-0.016185321166994983
132,108,7,1.5768355,14336,-41.36705057621002,60,33.15831756591797,0.2,102.78897378444671,1.007795810699463,0.018551577,0.00025,-0.006998419761657715,0.131005859375,-0.017100514940102583
131,124,8,-4.3612056,16384,-41.39971902370453,70,25.75984764099121,0.2,35.56900826692581,1.0095274448394775,0.017082538,0.00025,-0.013938069343566895,0.1857421875,-0.016995312078506686
130,141,9,1.3728422,18432,-41.445044660568236,80,14.897490501403809,0.2,75.72032568454742,1.011089563369751,0.02191284,0.00025,0.004151701927185059,0.244384765625,-0.022816361341392623
130,157,10,-1.9584401,20480,-41.48205363750458,90,55.468379974365234,0.2,108.05610184669494,1.0121395587921143,0.021473994,0.00025,-0.01394665241241455,0.17607421875,-0.01467987902869936
130,172,11,0.41395316,22528,-41.530481457710266,100,34.74930953979492,0.2,78.21527583599091,1.0151634216308594,0.025720678,0.00025,-0.004000306129455566,0.24931640625,-0.017228931820136496
130,188,12,0.51004446,24576,-41.62443032264709,110,14.930032730102539,0.2,27.67831003665924,1.0179634094238281,0.018375818,0.00025,-0.004807591438293457,0.236376953125,-0.022762804653029888
130,204,13,-0.19063102,26624,-41.70371861457825,120,37.12173843383789,0.2,66.39739611148835,1.0206283330917358,0.019932885,0.00025,0.018645167350769043,0.214453125,-0.02239603453199379
130,220,14,4.862423,28672,-41.75816850662231,130,17.56028938293457,0.2,75.3800038099289,1.0225331783294678,0.022324985,0.00025,0.018320560455322266,0.17099609375,-0.016802929501864128
129,236,15,-0.016967477,30720,-41.84563829898834,140,6.666450500488281,0.2,13.180833154916764,1.0266185998916626,0.029757999,0.00025,-0.0065430402755737305,0.284716796875,-0.013085303027764894
129,253,16,-0.13417038,32768,-41.92493054866791,150,48.54113006591797,0.2,70.75118163824081,1.0276504755020142,0.02199983,0.00025,0.0141867995262146,0.180078125,-0.017164650687482207
128,270,17,-2.1952991,34816,-41.94096250534058,160,50.90198516845703,0.2,116.30504667758942,1.0280327796936035,0.012335365,0.00025,-0.006820559501647949,0.1185546875,-0.012409529549768195
128,286,18,-4.323655,36864,-41.95866813659668,170,13.308012962341309,0.2,29.018606638908388,1.0294557809829712,0.020863919,0.00025,-0.016899466514587402,0.259423828125,-0.021914982452290132
128,303,19,-0.61138546,38912,-42.01917572021485,180,23.149826049804688,0.2,76.72043924331665,1.0321074724197388,0.02090441,0.00025,-0.007760286331176758,0.2181640625,-0.015020891031599603
128,319,20,-2.864167,40960,-42.071456623077395,190,24.320178985595703,0.2,121.15819554328918,1.0331188440322876,0.02430351,0.00025,0.004652261734008789,0.22685546875,-0.01644577145052608
128,333,21,0.5885818,43008,-42.09394698143005,200,29.600704193115234,0.2,48.397328078746796,1.033815860748291,0.034171686,0.00025,0.008859336376190186,0.243603515625,-0.008652488341613206
129,348,22,0.57986206,45056,-42.16173634529114,210,85.9910659790039,0.2,94.11472954750062,1.0374425649642944,0.021148838,0.00025,0.016096174716949463,0.251416015625,-0.009215867397142575
129,362,23,-4.736879,47104,-42.22484300136566,220,48.75962829589844,0.2,80.80124905109406,1.0387743711471558,0.018079791,0.00025,0.012774050235748291,0.175390625,-0.014007677236804739
130,377,24,0.6848748,49152,-42.258301329612735,230,68.29141235351562,0.2,128.73590471744538,1.0404590368270874,0.031980973,0.00025,-0.011928439140319824,0.27841796875,-0.006813377249636687
130,391,25,2.089119,51200,-42.323677611351016,240,28.303634643554688,0.2,59.638345098495485,1.0429141521453857,0.026534587,0.00025,0.026946544647216797,0.245166015625,-0.015606512776867022
